time,m_x,m_y,m_z,qfi,qfi_raw
1,-2.334294824135108E-001, 2.200990416663188E-001,-3.804551845853921E-001, 5.088799654421717E-003, 5.088799654421717E-001
2,-3.621540736822817E-001,-1.001820790364749E-001, 2.454043683002758E-001, 1.568545954421378E-002, 6.274183817685510E+000
3,-2.417896169430897E-001,-1.593508143661146E-002,-2.152770849783588E-001, 3.513196474437065E-002, 3.161876826993359E+001
4,-1.283577502732700E-001, 5.007872869298238E-002, 2.494382171198583E-001, 5.908849531547142E-002, 9.454159250475427E+001
5,-1.809852829557338E-001,-7.278190763756153E-003,-2.722579663490506E-001, 7.272440791404936E-002, 1.818110197851234E+002
6,-2.702877463957941E-001, 7.094113767260008E-003, 2.735647993601360E-001, 7.198427489170567E-002, 2.591433896101404E+002
7,-2.259946602311759E-001,-4.887054167237312E-002,-3.016306523577238E-001, 6.584941946338178E-002, 3.226621553705707E+002
8,-1.725103018312424E-001,-6.748955669334437E-002, 2.984223660165258E-001, 6.421144339044833E-002, 4.109532376988693E+002
9,-2.702528801420327E-001, 9.220444980522090E-002,-2.260005355935354E-001, 6.822873849120488E-002, 5.526527817787595E+002
10,-2.252739291549908E-001,-6.615893374182069E-002, 1.618937126717181E-001, 7.330462982382894E-002, 7.330462982382894E+002
11,-1.720674294740550E-001, 2.680002729386547E-003,-1.312381266696982E-001, 7.966084525820350E-002, 9.638962276242623E+002
12,-2.017225506711441E-001, 5.164371676712503E-002, 1.527246781772382E-001, 8.621271366848897E-002, 1.241463076826241E+003
13,-2.379958632058492E-001,-6.544948433857311E-002,-2.051178054191268E-001, 9.044061454640275E-002, 1.528446385834206E+003
14,-2.685979802922025E-001, 7.176801954553055E-002, 2.537777455144367E-001, 9.067382605243813E-002, 1.777206990627787E+003
15,-1.585617426424435E-001,-4.634879521198301E-002,-3.146602784033408E-001, 8.736004196783682E-002, 1.965600944276329E+003
16,-2.115857231598236E-001,-1.048887495516167E-001, 2.880174265710055E-001, 8.356392315216165E-002, 2.139236432695338E+003
17,-2.763949121790724E-001, 5.418582978029928E-002,-2.074784560811316E-001, 8.196698764027695E-002, 2.368845942804004E+003
18,-2.021705071900262E-001, 8.522275503270354E-002, 2.256438044528417E-001, 8.245966203267262E-002, 2.671693049858593E+003
19,-1.374053270439775E-001,-3.148575551498931E-002,-2.848445512931848E-001, 8.248175566408771E-002, 2.977591379473566E+003
20,-2.240378689767204E-001,-8.461205933307652E-003, 2.853501496640810E-001, 8.186948930494959E-002, 3.274779572197984E+003
21,-3.215837314824941E-001,-1.458649416758620E-002,-2.836998575118164E-001, 8.003687459157157E-002, 3.529626169488306E+003
22,-2.722160899865508E-001, 1.462865307462793E-001, 3.461892939059922E-001, 7.646438668632198E-002, 3.700876315617984E+003
23,-4.257095737630470E-002,-3.280131686792745E-002,-4.456733997046644E-001, 7.162777211187517E-002, 3.789109144718197E+003
24,-1.842315738233028E-001,-1.674666832791083E-001, 3.729235691393823E-001, 6.794032620369005E-002, 3.913362789332547E+003
25,-3.342190337372481E-001, 1.124601386370190E-001,-2.515293435005239E-001, 6.663472344399595E-002, 4.164670215249747E+003
26,-2.702955557328154E-001, 1.747549817556470E-003, 2.086212989498939E-001, 6.700587628286201E-002, 4.529597236721472E+003
27,-1.753952172921041E-001,-7.187252538514898E-002,-2.405072459274015E-001, 6.848341954670156E-002, 4.992441284954543E+003
28,-1.489570815418626E-001, 4.048279559492377E-002, 2.962647048805225E-001, 6.955985308292445E-002, 5.453492481701276E+003
29,-2.172278140113648E-001, 4.558893202183618E-002,-2.870968357668131E-001, 6.930228763116281E-002, 5.828322389780792E+003
30,-2.576823180644446E-001, 2.455609282437186E-002, 2.755010401018211E-001, 6.839316028587167E-002, 6.155384425728450E+003
31,-2.227360339108768E-001, 4.163205578316884E-002,-2.791172276681469E-001, 6.791363756403597E-002, 6.526500569903857E+003
32,-2.423344210069860E-001,-1.044406996826460E-001, 2.155483019764528E-001, 6.880555110524926E-002, 7.045688433177524E+003
33,-1.960362197694887E-001, 6.481199595533906E-002,-1.390529564304693E-001, 7.120180321535341E-002, 7.753876370151986E+003
34,-1.718505256271702E-001, 2.589470792836763E-002, 1.250142523500902E-001, 7.433458800906602E-002, 8.593078373848031E+003
35,-2.393285836813383E-001,-6.295455282745694E-002,-1.644461596655432E-001, 7.684022949094319E-002, 9.412928112640540E+003
36,-2.201967735478197E-001, 6.205793584468523E-002, 2.174181759114843E-001, 7.822102694625959E-002, 1.013744509223524E+004
37,-2.570160528048552E-001,-6.736056915963005E-002,-2.636140104954438E-001, 7.837734724479256E-002, 1.072985883781210E+004
38,-1.902034188193663E-001, 3.120723701802362E-002, 3.176850696120817E-001, 7.745840392269374E-002, 1.118499352643698E+004
39,-1.978233839039889E-001, 1.316824476105011E-001,-2.748059310246474E-001, 7.668126604267598E-002, 1.166322056509102E+004
40,-2.317593267897285E-001,-9.383671071533081E-002, 1.622826846049905E-001, 7.714412680492858E-002, 1.234306028878857E+004
41,-2.271436872623524E-001,-1.280085320842428E-001,-1.805701187956402E-001, 7.835694444661045E-002, 1.317180236147522E+004
42,-1.997166441276704E-001, 1.110162515314190E-001, 2.934849145815031E-001, 7.864785195553167E-002, 1.387348108495579E+004
43,-1.992353672883724E-001,-4.011753607813878E-002,-3.493222916543436E-001, 7.787163827913494E-002, 1.439846591781205E+004
44,-2.330099177900378E-001,-6.083352597011773E-002, 3.425326465145831E-001, 7.621447556110355E-002, 1.475512246862965E+004
45,-3.095098139900611E-001,-1.586250192562500E-002,-3.096454511813457E-001, 7.429135690467101E-002, 1.504399977319588E+004
46,-1.391894712574777E-001, 4.626740400454037E-002, 3.514519415501208E-001, 7.277363492701596E-002, 1.539890115055658E+004
47,-1.266140262967309E-001, 7.716778406002394E-002,-3.389934655038094E-001, 7.192639627117596E-002, 1.588854093630277E+004
48,-2.660835387793538E-001,-9.088243057226666E-002, 2.605222530461738E-001, 7.162224366962803E-002, 1.650176494148230E+004
49,-3.111141004773421E-001,-1.053788109689212E-002,-2.276314969072619E-001, 7.152804487753347E-002, 1.717388357509579E+004
50,-2.421892347462816E-001, 6.852831588649453E-002, 2.603587552110581E-001, 7.149846207029226E-002, 1.787461551757307E+004
51,-1.075947073017934E-001,-2.301906747224123E-002,-3.131072093657231E-001, 7.139396532470346E-002, 1.856957038095537E+004
52,-1.600476452899270E-001,-1.078891844602007E-001, 2.666190132443950E-001, 7.133938287845771E-002, 1.929016913033497E+004
53,-2.960096806639902E-001,-2.019283511785652E-003,-2.172493976745054E-001, 7.155647940708605E-002, 2.010021506545047E+004
54,-2.723111119568869E-001, 2.940179668507196E-003, 2.322561537635319E-001, 7.182243193057163E-002, 2.094342115095469E+004
55,-1.983812341987420E-001, 6.632481912089769E-002,-2.052770853471314E-001, 7.245646726117374E-002, 2.191808134650506E+004
56,-1.786952798232665E-001,-3.030403428926630E-002, 1.553974163621716E-001, 7.370456043995807E-002, 2.311375015397085E+004
57,-1.921469285262561E-001,-1.801180977817852E-002,-1.586155117520479E-001, 7.515207554201014E-002, 2.441690934359910E+004
58,-2.531436132812885E-001, 1.652249802405155E-002, 1.708737863901476E-001, 7.631746617958283E-002, 2.567319562281166E+004
59,-1.920315426851976E-001,-2.872434558523383E-002,-1.888882103238144E-001, 7.726727868033384E-002, 2.689673970862421E+004
60,-2.596566922214890E-001, 6.270339139029658E-002, 2.227039946135692E-001, 7.777312412527583E-002, 2.799832468509930E+004
61,-2.369223464305029E-001,-5.343041058935717E-002,-2.789985776111223E-001, 7.760191250544607E-002, 2.887567164327648E+004
62,-1.708820198326992E-001,-6.274818976345356E-002, 2.787767503344203E-001, 7.737195330934481E-002, 2.974177885211215E+004
63,-1.744171642116367E-001, 1.131078361533018E-001,-1.909612902923590E-001, 7.756610787734488E-002, 3.078598821651818E+004
64,-2.604628277772527E-001, 7.833136226774263E-002, 1.751365768443785E-001, 7.812640309584687E-002, 3.200057470805888E+004
65,-2.704803620874228E-001,-1.184478259448422E-001,-2.651994490831552E-001, 7.830108412070457E-002, 3.308220804099768E+004
66,-1.716133872240427E-001, 8.091286284013820E-002, 3.486542174688050E-001, 7.786562110765288E-002, 3.391826455449359E+004
67,-1.482857762522464E-001, 8.063608421334748E-002,-3.536777562486929E-001, 7.686935270133030E-002, 3.450665242762717E+004
68,-3.321288576486047E-001,-5.468272188459002E-002, 2.784876504303000E-001, 7.579556450838934E-002, 3.504786902867923E+004
69,-2.331411728102901E-001,-7.971988167795487E-002,-2.953681910983696E-001, 7.505853901987798E-002, 3.573537042736391E+004
70,-8.647129884854481E-002,-1.611159936296803E-002, 3.391088144092492E-001, 7.453435893835042E-002, 3.652183587979171E+004
71,-2.082555082683266E-001, 1.044007671330713E-001,-2.731617891210742E-001, 7.429501229132667E-002, 3.745211569605778E+004
72,-3.326852810844830E-001,-1.522336098339040E-002, 2.232805518435733E-001, 7.427661244882320E-002, 3.850499589346994E+004
73,-2.876326053112260E-001,-5.345985813858143E-002,-2.384054646751731E-001, 7.419026698320328E-002, 3.953599327534903E+004
74,-8.796953455544524E-002, 3.779221393950307E-002, 2.909256360319665E-001, 7.405466878013967E-002, 4.055233662400448E+004
75,-1.316879482079728E-001, 9.294744271875537E-002,-2.597808368116894E-001, 7.412004761743738E-002, 4.169252678480852E+004
76,-3.112184245496128E-001,-3.851574511537776E-002, 2.005522980369129E-001, 7.441597037221501E-002, 4.298266448699139E+004
77,-2.909686515354607E-001, 7.307325631299278E-003,-1.898141984711447E-001, 7.477381523544351E-002, 4.433339505309446E+004
78,-1.774416576058786E-001,-3.772472481763933E-002, 1.698290600300926E-001, 7.543845743600163E-002, 4.589675750406339E+004
79,-1.864256663925615E-001,-1.653092624291406E-002,-1.552881337269468E-001, 7.637446541921404E-002, 4.766530386813148E+004
80,-1.968948717002866E-001, 2.721185186666865E-002, 1.831346663685535E-001, 7.717366754291180E-002, 4.939114722746355E+004
81,-2.407039117225839E-001, 1.284593244300852E-002,-1.849409839356245E-001, 7.772485905481885E-002, 5.099528002586665E+004
82,-1.875557634850421E-001,-2.119277950601388E-002, 1.698734180097759E-001, 7.835219822091815E-002, 5.268401808374537E+004
83,-2.750641631955301E-001,-1.229750125722444E-002,-1.633448204090927E-001, 7.901180185274097E-002, 5.443123029635326E+004
84,-2.568141850732332E-001, 8.628455966944897E-002, 2.015614341121012E-001, 7.941409177743060E-002, 5.603458315815503E+004
85,-1.432460343474949E-001,-6.576187671429958E-002,-2.775711744498489E-001, 7.952242105487291E-002, 5.745494921214567E+004
86,-1.504753042366140E-001,-9.713955067675641E-002, 2.594624162686356E-001, 7.935919668712024E-002, 5.869406186979413E+004
87,-2.775448859611852E-001, 2.017155836882837E-002,-1.994644972211896E-001, 7.930079120898208E-002, 6.002276886607854E+004
88,-3.072188081852319E-001, 7.009903515907858E-002, 2.229584552912283E-001, 7.934191668518470E-002, 6.144238028100703E+004
89,-1.692619720608393E-001,-8.729129607446213E-002,-2.948653917811892E-001, 7.924318676635298E-002, 6.276852823762820E+004
90,-1.067933514103049E-001,-4.596888871931677E-002, 3.171627457442975E-001, 7.894162018452036E-002, 6.394271234946149E+004
91,-3.104861696415450E-001, 5.529885497353579E-002,-2.583067664952594E-001, 7.850080214111727E-002, 6.500651425305921E+004
92,-2.870135438504330E-001, 1.040514203042696E-001, 2.781709000287370E-001, 7.795659851249463E-002, 6.598246498097546E+004
93,-9.956908105343860E-002,-1.915114370169917E-002,-3.538374956120254E-001, 7.727619866197927E-002, 6.683618422274587E+004
94,-1.863888229312626E-001,-1.236390413736546E-001, 2.923108297226115E-001, 7.687368175057066E-002, 6.792558519480423E+004
