time,m_x,m_y,m_z,qfi,qfi_raw
1, 2.423725041602765E-001,-2.071708361597507E-001,-3.836158207622272E-001, 2.164542537739145E-003, 8.658170150956579E-001
2, 3.845495336989260E-001, 5.844785183828725E-002, 2.702426754765252E-001, 6.627000466361750E-003, 1.060320074617880E+001
3, 2.703402515709781E-001, 5.498237387099009E-002,-2.775403183984002E-001, 1.581607343215678E-002, 5.693786435576442E+001
4, 1.221546027160868E-001,-7.952913892575793E-003, 3.132357789679787E-001, 3.021947231214290E-002, 1.934046227977145E+002
5, 2.127676442756907E-001,-4.978352199814486E-002,-2.858597636665691E-001, 4.138491020235172E-002, 4.138491020235172E+002
6, 2.899893085800122E-001,-3.992382086858377E-002, 2.793717219683087E-001, 4.415441072967657E-002, 6.358235145073427E+002
7, 2.492443084479266E-001, 7.220141703651348E-002,-3.301767367371099E-001, 4.299911809454784E-002, 8.427827146531376E+002
8, 1.924914818851095E-001,-3.106090683208170E-002, 3.761783297301596E-001, 4.021725845195611E-002, 1.029561816370076E+003
9, 2.146265191786876E-001,-6.293831914666845E-002,-3.602428429738724E-001, 3.600381933918829E-002, 1.166523746589701E+003
10, 2.497752392894256E-001, 3.003449262947933E-002, 3.169960142796055E-001, 3.402631061351201E-002, 1.361052424540480E+003
11, 2.107002103575860E-001,-1.432056521660993E-002,-3.054833185778880E-001, 3.594409820525354E-002, 1.739694353134271E+003
12, 2.667501836584560E-001, 6.707786220193621E-002, 2.721565207672477E-001, 3.849192844998400E-002, 2.217135078719079E+003
13, 3.089449860384522E-001,-4.350313179517225E-003,-2.322850360977927E-001, 4.037917674511480E-002, 2.729632347969760E+003
14, 1.703111986869056E-001,-1.054417125563897E-001, 2.824752763189744E-001, 4.250955029568461E-002, 3.332748743181673E+003
15, 1.122442593229754E-001,-2.601185202789312E-002,-3.247313935190216E-001, 4.518644108362504E-002, 4.066779697526254E+003
