time,m_x,m_y,m_z,qfi,qfi_raw
1,0.24237250416027428,0.0,0.0,0.341738519549752,136.695407819900783263657358113189588745727561398736944585086
2,0.3845498042509212,-8.679889158896543e-64,2.3668503790208624e-61,0.24872875002480577,397.966000039689234283847838507991483923078044122528111546301
3,0.2730734046349638,7.77302329753222e-62,-2.8939373147771752e-61,0.21225445139263818,764.116025013497408991670992596934190772415334274403608472857
4,0.1816951277670216,9.242009518262863e-63,5.079481528951921e-61,0.21602675926774859,1382.57125931359095079183475586125568204663240618753983705737
5,0.2337979265058173,-8.93663979949102e-62,-3.314034449223917e-61,0.21976182227514973,2197.6182227514974487157818426194853116351088725783857697854
6,0.2505500916081021,1.0166292567002236e-61,5.4646807102569355e-61,0.2147201155355533,3091.96966371196777030606040566950739153811220360539703204661
7,0.2388061827144785,-4.2892101800599696e-63,-5.485727071486813e-61,0.21328468534170383,4180.37983269739512078148282711276024332690988212535661542087
8,0.20819147213541175,-1.040075026638662e-61,7.840594871345794e-61,0.21524142801315685,5510.1805571368152163822238298406902869767742810562077440872
9,0.23854393221087186,-5.254827644014955e-62,-8.438972079407013e-61,0.21598235717884826,6997.82837259468384947601484967445646921981452172570740121335
10,0.2670865604224293,-1.1510259501546188e-61,8.956482241778969e-61,0.21411861266172325,8564.7445064689295032215666334535410005162606515515315371191
11,0.1908563755434696,2.739207212856553e-62,-1.1218418769791396e-60,0.21519642987883025,10415.5072061353844750841549226714859443004000193985998848628
12,0.28131553936914605,4.09810763605719e-61,1.0620153442949876e-60,0.21590553060573578,12436.1585628903814292101875345708258969933705793629261135452
13,0.3547161266595052,-1.7859143961773643e-61,-7.159029443826361e-61,0.21108578261661048,14269.3989048828679770896900942850231129941869356926267773772
14,0.18590708581374604,-5.55856361289351e-61,1.2230058244810641e-60,0.20732691625417793,16254.4302343275493863956503515156229267063633403589831834086
15,0.05821133120951886,4.517315794727806e-62,-1.343690549081779e-60,0.2115628717586991,19040.6584582829192433472666476764440820593076134789230171379
16,0.26872476040914267,5.4427870471038636e-61,1.4426444461467315e-60,0.21494315743058315,22010.1793208917144468701054728811403005372858622311590213586
17,0.3708110680574811,4.056903625948132e-62,-1.2566741273229184e-60,0.21173589878787918,24476.6698998788340521902653367986518829636297143155510256433
18,0.25962964855516135,-4.718553702250835e-61,1.5843884783676813e-60,0.20875901579642547,27055.168447216741489695277844043144829790785446952521772472
19,0.1851910931314363,-1.0252066550717662e-62,-1.8760226559737344e-60,0.20992922803236813,30313.7805278739591284034982361769864837898154872059263784701
20,0.22121061188367705,4.572627555341308e-61,1.7732717636438036e-60,0.21073653543600462,33717.8456697607378595494656714104695283213501937153925959494
21,0.27718698566149413,-1.7186153886157046e-61,-1.499901842036352e-60,0.20848530785168284,36776.8083050368514914433418110776460491457567495185076465159
22,0.2145440243183387,-2.6329304371318577e-61,1.5352900593471002e-60,0.20685695035335516,40047.505588409559101690062393703643163715317615240138429977
23,0.18742850514537604,1.292375774301121e-61,-1.8359388101986608e-60,0.20754225498267637,43915.9411543343207465619081210843055794633822644998304617029
24,0.2673428671937853,2.3455348098467774e-61,2.0350419150594083e-60,0.20805256976023936,47935.312072759151205269236918788736803344044013732186074584
25,0.2878652571752751,3.531444159723324e-61,-1.960314127617103e-60,0.20679613774260175,51699.0344356504381596863842747842243346165030765388371712214
26,0.2042084837073265,-1.7911760775200536e-61,2.4634521728854003e-60,0.20689012385724917,55943.0894910001750644769210865969736848404011171511813272102
27,0.2513802420962766,-7.41577605281145e-61,-2.1337582711401098e-60,0.20745542060201186,60494.0006475466590133367565887485933569623544025338100743181
28,0.3034795829882253,1.398139933102162e-61,1.792737677724956e-60,0.20551158200837455,64448.4321178262591323892252996676038689741212888280950846756
29,0.21429137170168572,1.2170803199240285e-60,-2.4834771701673384e-60,0.20345134297695297,68441.0317774469750194606094202577290897942651865053256826507
30,0.10691912288667958,-1.949386813561048e-61,3.1947412511500294e-60,0.20456656881711452,73643.9647741612306133402018590876752455279132863088549483831
31,0.24672070315588224,-9.920758833701016e-61,-2.7144836309873685e-60,0.2058014998914869,79110.0965582875734943543147287227882101130909094339940874081
32,0.34485905614144374,3.3754503712818336e-61,2.2187662359258168e-60,0.2043507578916928,83702.0704324373652693427159692123918042568349840636051368633
33,0.28736235665536075,7.21047459397593e-61,-2.3666182886034885e-60,0.20295940012083757,88409.114692636849910559999918628080761922259899072908907489
34,0.19066206521550141,-4.2172720992518885e-61,3.1645353539406046e-60,0.203571996744167,94131.6912945028290241673691975658188216650577670732795675861
35,0.2168698190082008,-8.221840045159504e-61,-3.0104592839646654e-60,0.20422883306581813,100072.12820225088657433300902344322352387021367093458948242
36,0.23822744334052223,2.79788051504322e-61,2.852301447185582e-60,0.20309400368178637,105283.931508638062236879303176284904188821629613961241644121
37,0.22253653465391765,6.675945748964175e-61,-3.166765681501351e-60,0.2021617335791137,110703.765307922670596632298059669804131864719420973654113089
38,0.20609529899997464,-1.9125356329597287e-61,3.5191476666574707e-60,0.202596320066193,117019.634470233071339332804777468299221306735883038300826712
39,0.28743501814477124,-5.99942715604141e-61,-3.135198340015458e-60,0.20275523721010313,123356.286318626748189827326890241399287998477002817153354019
40,0.2966763141981318,-1.3395120324681324e-61,3.09415298029377e-60,0.20187010870049374,129196.869568315998054493619709481962761100304580173865803052
41,0.1847431220375408,1.334536712545623e-61,-3.291469971510302e-60,0.20206070557418634,135865.618428082901892096319241322155503180726981197538451671
42,0.21409181244330008,9.40880170776268e-61,3.2552644351171425e-60,0.20290669206467882,143170.961920837365354834610917697524519703598769865790427072
43,0.3115703163188011,5.921782870350448e-62,-2.664564796174165e-60,0.2020781841879813,149457.025025430969314418234848902992078401472481813336709392
44,0.2550934436359768,-1.343571391044221e-60,3.431154095790843e-60,0.20088715709563693,155567.014454861227115723507676744552175657906766373419951625
45,0.09292699366023402,1.8999092909707878e-61,-4.4532567711837367e-60,0.20161633019848654,163309.227460774105785467570115706372535649547255509093151832
46,0.226767814426225,1.528313742767399e-60,3.8585055238610184e-60,0.2026791251373552,171547.611516257435752407008362727918128903662727853520671485
47,0.3520978124003501,-3.955818100529124e-61,-2.9107538341706825e-60,0.2019715237647797,178462.038398559336418591005348240735431452445852213174630194
48,0.32542492075354384,-1.2066921465607466e-60,3.4197832407736683e-60,0.20101003434405332,185250.847651479530565241803366903339333488647890020805870578
49,0.19045803686487892,5.8727603119840726e-61,-4.509919376742922e-60,0.20146029929147602,193482.471439533575954251512891579047967158429611568525232141
50,0.1501435767469214,1.1598722747933989e-60,4.1505389914669235e-60,0.20228307557651115,202283.075576511149329487502586379035945463884418475561516746
51,0.23389413556292576,-6.48920434187567e-61,-3.2180837007400754e-60,0.2019208339020885,210078.435591732874550572915599900000336565123134717702816572
52,0.27118541714991823,-9.90638526947646e-61,3.6733134029515236e-60,0.201435569300575,217872.711755501919131403526315335868246157247638494819065673
53,0.2226708507015208,2.207883682234619e-61,-4.3437488618782476e-60,0.20184558869799069,226793.703461062318775688478215623577363734469719591756360903
54,0.2698231359064121,6.577511380505557e-61,4.2992526657978057e-60,0.20209693387690497,235725.863674021951832897849990240926647163666748526430089232
55,0.30413663237332716,6.319299252377175e-61,-4.1351866079756674e-60,0.20156007777695353,243887.694110113760619858283530495407415457168849754673850223
56,0.14884894288443695,-4.9150921636572356e-61,4.877702360522213e-60,0.20176516644743775,253094.224791665904608652091856747877579448875393930319090608
57,0.2267389228228527,-1.507460952632471e-60,-4.1980054576963194e-60,0.2025003584808838,263169.465881756588825229921001093450876478294676085918003301
58,0.33341046386684897,4.490828612589037e-61,3.606946851547224e-60,0.2020797469124641,271918.507445411719426302967938983958007217950669185927096576
59,0.23162392366432352,1.8506406543257671e-60,-4.1257482879224933e-60,0.2013277904982085,280328.815489705524602082622927984435685841354152144031410388
60,0.09033589896490653,-5.3015102802546145e-61,5.633762630743578e-60,0.20197535309030346,290844.50845003695749995388522249387974896112989116567046528
61,0.23757902721323887,-1.6228615932145214e-60,-5.372777149172069e-60,0.2028749057199692,301959.009673602133197022273271149565048256405761071424155162
62,0.37634713420316385,9.346600971801528e-61,4.058820211224745e-60,0.20241433813525342,311232.286316765636470007717974383282974906320595110270916097
63,0.33601506689784916,1.369252022613911e-60,-4.240952010266986e-60,0.20158663507585317,320038.94184642448239042448398834646773271682840127990908125
64,0.149815023258032,-1.1912897393095733e-60,5.738139876147282e-60,0.20185781336788047,330723.841421935357450722876689923441711697644417234270057476
65,0.09818354597199633,-1.3988409170505977e-60,-6.017606656274572e-60,0.20261167337263683,342413.727999756220746230389993878745393043568616675756049355
66,0.2965953012204202,1.0301951944727e-60,4.6751001890742366e-60,0.20238761488361426,352640.180173209474457908931968107012532553447257011852213762
67,0.29804890353318103,1.2736369048173882e-60,-4.86999123175902e-60,0.20192827428251192,362582.409301678394644838684126897050114004605675031799998849
68,0.19500347858327555,-4.597479564920757e-61,5.97513747970471e-60,0.20223313819423044,374050.412404048652279991324239302781702993922387789062327478
69,0.27163875631919177,-1.2227576689756453e-60,-5.33773788508541e-60,0.20251088846479198,385661.735992349838074116788777497862226432986984207094063342
70,0.29458353805676574,-7.056038431860112e-61,5.319636946077428e-60,0.20204162544621523,396001.585874581867680193613602575894365452077447770323791078
71,0.15521880186650153,5.349932600888464e-61,-6.355474687799183e-60,0.20207101792538731,407456.000544750956496447050341236921644592770285391219501104
72,0.24159335011946423,1.4799077095071503e-60,5.731630802650318e-60,0.20253757995590688,419981.925796568522652006926055402290929792551021435531170254
73,0.30064428700137436,-2.462102593770094e-61,-4.579778076831597e-60,0.20219361920937748,430995.918706709018149189367527285418283120988924520365713574
74,0.211981281602517,-1.9768010674848217e-60,5.937269366726803e-60,0.20156691391601633,441512.168241642165521613784121357415629076482124686935087362
75,0.1402406329746665,4.0042477465437104e-61,-7.064936380058476e-60,0.20194826287816126,454383.591475862815124445830593567397054172550105938656567738
76,0.25024777703931506,2.1902485693944576e-60,6.373163298153046e-60,0.2026167835888993,468125.816803792986945647927851951337300696954564518532432108
77,0.37645272967152077,-1.0913891840362398e-60,-4.8093096417019865e-60,0.20227497662763524,479715.334570099778289464288651806933778189147489251020307164
78,0.3102733984358876,-1.8403509224361117e-60,5.193224353891087e-60,0.201543708265051,490476.768433828128773946416103319642338689717809049263541295
79,0.09967280495778169,1.8467013695292023e-60,-6.94893881249179e-60,0.20164326263800486,503382.240849515337434907214671494215289411549708380441374064
80,0.14257623163221544,2.063841512781654e-60,7.301255629217744e-60,0.2022388470509275,517731.448450374450773510231679140660493074377081201292195622
81,0.3236138357054004,-1.4761182395364908e-60,-5.692768711246618e-60,0.20198002483852087,530076.377186214210115282427406374967091342081307151075734556
82,0.2808495283302231,-1.4648592974931978e-60,5.672406755676501e-60,0.20149196478454456,541932.78848451105184421051687166362569324594929090417596048
83,0.18678700342078178,6.525048053367098e-61,-6.681078870818972e-60,0.20170494393867144,555818.143517403057034153683060848691566653078612005457125069
84,0.281735181677911,1.1096847103017021e-60,6.56196648313529e-60,0.20191925280232978,569896.899109295607603524908428058423353640097227297158348027
85,0.2876850182561021,8.391043878131884e-61,-6.476019526407458e-60,0.20151992807543506,582392.592138007335092515350796117068957233804633742564331944
86,0.1767826246235091,-6.734792352579669e-61,7.430890065118238e-60,0.20149660878760908,596107.567437262732140090827348065720069956949203741072646872
87,0.20927883459219102,-1.862573022921747e-60,-6.909901982930935e-60,0.2018793401387468,611209.890204069806143313687047771273581442881868281338757118
88,0.27001847613237906,4.537941097842696e-61,5.845636721094103e-60,0.20163267936920243,624577.387614041447666067246371533287207605358079321358867521
89,0.2544901752163139,1.967594104926691e-60,-6.60190107690135e-60,0.20109672789348135,637154.872657706317649484907086608260528036116156180937705429
90,0.17121914643128483,-1.1348117538726396e-60,8.244793264096677e-60,0.20129018272848045,652180.192040276636553509025054979129535200998158443486413674
91,0.24639965229772298,-2.1990124041483984e-60,-7.617737569703316e-60,0.201861735354356,668646.812187768782304000544365257646207248979483883469564646
92,0.34342743370341117,1.7183133337274295e-60,6.08403664699336e-60,0.20166064691704882,682742.286202360528246066478789389790258907607859385527676256
93,0.283622222002783,2.136438599296673e-60,-6.185081864756413e-60,0.20103325325410895,695494.642957915301811427160237826444884872111052782339197454
94,0.12889578124288018,-2.254932514352248e-60,8.474062104979799e-60,0.20110555646595754,710787.478773280320830466909499010902858993392933049762587558
95,0.16318896566604346,-2.306630608110942e-60,-8.314839616984466e-60,0.20167869250317513,728060.079936462238963789502994699224700274294176662003071589
96,0.2940925379819349,1.9093697027153506e-60,6.611515399088863e-60,0.20152957534189253,742918.626540352647708302158429524145467735984444932740510067
97,0.27634438031506914,2.0447433215395157e-60,-6.652218526246538e-60,0.2011066030681929,756884.811307450725226336521619195887094847633159039212997984
98,0.22557881760402057,-4.523529926228303e-61,8.192372247602857e-60,0.2012786185690795,773231.941094975805576784332694064953623185744058719435385961
99,0.27184641406593185,-1.2571186776224082e-60,-7.770700426425518e-60,0.20147873059448343,789877.215422612803418170928091661864960022862589739560253039
100,0.2901972575783246,-5.890262942788464e-61,7.311470042283125e-60,0.2012092882291355,804837.152916542024426727393306627162559086810678020899784876
101,0.14153066783453863,7.98996504922899e-61,-8.350223296975945e-60,0.2012105486946381,821019.522893601307939175959202828721295258464647919910919435
103,0.2824867089869926,-7.725422246418898e-61,-6.958236140813225e-60,0.20144267521408762,854842.136538502241465364476111294191340285595484455489362391
