time,m_x,m_y,m_z,qfi
1,0.1966140550636498,0.0,0.0,743.5856833447714
2,0.2965971986361989,2.4358780171699885e-52,7.32475693373271e-51,2545.75720116676
3,0.10939193101318227,2.8627043253388915e-51,-6.443570452091757e-51,5600.347418284604
4,0.05326624918863676,2.0033425017252723e-52,8.878436183139995e-51,10534.91138853601
5,0.25454460713778193,-2.5015910708264993e-51,-7.120077427940801e-51,16444.276453799626
6,0.22665038127587067,1.0991783029361988e-52,9.01402313834824e-51,22983.234697697695
7,0.06656706592684541,4.411638985729437e-51,-8.371728528477006e-51,31537.436155594678
8,0.15048566652036963,-1.2657463047106262e-52,1.6452278033255031e-50,41854.328028426135
9,0.24803371917532777,-2.899319337146544e-51,-1.6578115097675123e-50,52424.15012375336
10,0.143565559856113,-2.223879852304961e-52,1.4396689818559064e-50,64294.768350702965
12,0.2091341860338502,1.4533032942979533e-51,2.262854652624034e-50,93511.23228019361
15,0.16815461609810356,3.664202014010656e-51,-1.7569555445879788e-50,146008.37016230565
18,0.14628781346856215,-3.447750906392522e-51,2.700423525689267e-50,209965.33826549817
23,0.18022001951226876,-1.7943571429400127e-52,-4.0894379883924446e-50,342107.3269889465
28,0.15204891040275492,4.280218648981082e-51,5.731207833373896e-50,507668.0578887077
34,0.15066503129523995,-2.0215108391629044e-53,6.34318010451956e-50,748291.8451681262
42,0.19087951315656598,-5.891074456279364e-51,7.861908300021772e-50,1141323.9946770563
52,0.2751213850438792,8.006900374176153e-51,9.061993570391683e-50,1751407.4645513096
65,0.06663812517062556,1.571116626094462e-50,-1.206030601011938e-49,2734822.9646612164
80,0.1896935211019684,-1.7590841571485288e-50,1.6000232999396967e-49,4141397.236205736
98,0.158257191571119,1.9029370954473e-50,1.7211070703617075e-49,6214666.65390734
121,0.25796869719749177,4.5988333999322204e-51,-2.053217612412454e-49,9469432.910517845
149,0.14506617426047558,3.2691585641045564e-50,-2.7925557655222414e-49,14362139.28087916
184,0.10445773654988187,-1.720383576241771e-50,3.601574632310572e-49,21912370.19843415
227,0.03644388675829888,2.780266171740446e-50,-4.734723891422343e-49,33336365.270917468
280,0.21515604430045412,-1.8310580729043474e-49,5.024685867237592e-49,50709904.13832363
344,0.2545200058235952,4.220981847549796e-50,5.769502788723524e-49,76565549.08189821
424,0.12704604739822717,7.06254450073395e-50,7.56967085194032e-49,116295647.2405978
523,0.08955269404198157,-1.797332575047653e-49,-9.912121238998674e-49,176967922.0450597
644,0.1727028015144079,-3.083015128383461e-50,1.0836650477903254e-48,268222384.21683428
793,0.17771172841007946,-4.024140445235386e-49,-1.50110510621588e-48,406693827.0874618
977,0.1387444120178222,-1.5915620479012021e-49,-1.8881352380878232e-48,617155241.3701795
1203,0.15690616439580976,2.406073255172567e-49,-2.2207490723067767e-48,935501635.8723017
1482,0.26317040631059724,1.4471818303761487e-49,2.457531266930816e-48,1419393237.7997804
1825,0.17903165601114018,6.0368942006112236e-49,-3.1551282196567856e-48,2152156895.0532746
2247,0.059042762985166024,-9.250123071468785e-49,-4.4070578801481103e-48,3262786035.8030424
2768,0.22267806739073942,-2.0439160699700377e-48,4.917366951494544e-48,4951127615.832167
3409,0.24867947704746185,-3.8295721320854056e-49,-5.598057184095565e-48,7509741123.307922
4198,0.12592026560431738,-1.641841581936662e-48,7.397952231940344e-48,11387668580.835447
5170,0.1748501010261087,1.0027441337700296e-48,9.162973079658194e-48,17271993263.759888
6368,0.19510050426175943,2.570677107826209e-49,1.1799430417524533e-47,26203247184.55821
7842,0.16010466032518134,-5.843013368128881e-49,1.5191252534886792e-47,39735936510.5354
9658,0.1851012082751885,3.283321549864992e-48,1.799905816958983e-47,60268462453.01876
11895,0.19389994244780676,-1.0380750123434124e-48,-2.2261736223424497e-47,91414754818.76062
14649,0.1597618435045251,-8.506821365654899e-48,-2.7540434871211757e-47,138633472389.19055
18041,0.18413764555957798,-1.0110645715520693e-47,-3.5062594775872083e-47,210237892872.60123
22219,0.24051321465606756,9.648218791536925e-48,-3.8304752523676076e-47,318821948075.95807
27364,0.26587840469977253,7.407054470574199e-48,4.554682078613199e-47,483428576736.72516
33700,0.1519442481642843,1.3051751095713774e-48,6.506844605988348e-47,732911935224.4816
41504,0.18028312184350864,2.4724546240472943e-47,7.221680643956049e-47,1111020261382.1982
51114,0.19462122725192849,3.3982286500897096e-47,9.204455199585588e-47,1683827625539.7805
62949,0.17638615516438172,2.039647220304365e-47,-1.0721436055319941e-46,2551573339313.887
77525,0.07555687013713556,1.102396688137478e-47,-1.4462772990827457e-46,3866514211568.376
95477,0.19849521114151616,1.5397623678485532e-47,-1.7326734582600294e-46,5860478951263.106
117584,0.15358949716223094,2.8599221454898885e-47,2.0105858735744872e-46,8886527932021.037
144811,0.26790520829633396,-4.530671358079472e-47,-2.3894325190023242e-46,13480653473266.88
178343,0.17641311185040853,9.669551320249197e-47,-3.132124443812631e-46,20447645846737.04
219638,0.18206606796393918,-5.116176755747223e-47,3.70268518515845e-46,31006410410372.105
270495,0.13064965482867155,-4.729380206340389e-47,-5.255569553172855e-46,47029967801944.13
333129,0.11635918441361058,8.995240113997834e-47,-6.044650727728161e-46,71325858139199.1
410265,0.2681127575564575,2.0525949125955687e-46,-6.48560996730151e-46,108181856811941.62
505263,0.06627586530075007,-2.7863887699695187e-46,-9.766021059535549e-46,164072438811210.78
622257,0.23667636813287452,-1.2194632291752039e-46,-1.1069715594661065e-45,248835772181350.88
766341,0.12807095444754582,-1.17367067270474e-46,-1.2998965727014402e-45,377380347995171.75
943787,0.05116719656389454,4.249957356456489e-46,-1.8313529613368313e-45,572299539668236.1
1162322,0.15106462471077722,-5.928083356337063e-46,2.0610610501293003e-45,867850217254027.2
1431458,0.24881244914403217,7.654125750932913e-47,2.231484348236934e-45,1315907530678182.8
1762914,0.20950963588999713,2.6758051677536047e-46,2.855737355908954e-45,1995000878997828.5
2171117,0.14594246352638682,2.6231466412498815e-46,-3.9523441032143386e-45,3023925371030078.5
2673841,0.19664563428015863,1.1256340562205802e-45,-4.435622493563715e-45,4582159177574448.0
3292971,0.15561587094436208,7.350897471193486e-46,-5.607133472481501e-45,6940526302189027.0
4055460,0.12652284274777528,-1.2527842639669684e-45,6.767969142691502e-45,1.0507086294005712e+16
4994505,0.20919416971070398,5.8655236431220564e-46,-8.041622681106416e-45,1.5896406060738328e+16
6150985,0.06880330641037441,-3.6821667237399295e-45,-1.1456082518827775e-44,2.4035431030691296e+16
7575250,0.1788874720875445,1.6254423794729038e-45,1.275602812548526e-44,3.6330456714757464e+16
9329304,0.12233507696028877,-5.1261673668129743e-45,1.6883451676855237e-44,5.493737779857953e+16
11489510,0.13241236779385832,-1.72876137585349e-45,1.90912021022411e-44,8.319074259791874e+16
14149912,0.13402908914964387,-2.451109185049224e-46,2.4430245628150893e-44,1.2620071698398651e+17
