time,m_x,m_y,m_z,qfi
1,0.2602554216304662,3.994633048804209e-52,1.3347261686727766e-44,267.24665877445113
2,0.2602554216304662,-6.510519125851805e-52,-1.334726576000439e-44,1061.871792281102
3,0.2602554216304662,3.760315811566412e-52,1.3347264265558072e-44,2377.3370755478322
4,0.2602554216304662,1.4087994700476568e-53,-1.3347270397186406e-44,4220.857101389615
5,0.2602554216304662,1.772870069000672e-52,1.3347269927491307e-44,6598.820155150554
6,0.2602554216304662,-5.971930198546916e-52,-1.334727460528046e-44,9503.520546569027
7,0.2602554216304662,6.855963665737721e-53,1.334727441046153e-44,12929.096837488818
8,0.2602554216304662,1.7846116464360043e-52,-1.3347279705258103e-44,16883.42468383408
9,0.2602554216304662,9.316905407325046e-52,1.3347279957072102e-44,21372.05756498592
10,0.2602554216304662,-3.341537541422175e-52,-1.3347283357444036e-44,26386.81530513576
10,0.2602554216304662,-3.341537541422175e-52,-1.3347283357444036e-44,26386.81530513576
11,0.2602554216304662,3.656115030909182e-52,1.334728168053399e-44,31922.532892832805
12,0.2602554216304662,3.803891347792285e-52,-1.3347288159818382e-44,37987.69650602044
13,0.2602554216304662,1.1348895933184938e-51,1.3347286553662963e-44,44586.96321545232
14,0.2602554216304662,-5.123983939421529e-53,-1.3347291742682414e-44,51711.74956668396
15,0.2602554216304662,3.430228459459666e-52,1.3347290864473686e-44,59357.65412055935
16,0.2602554216304662,4.953827073385668e-52,-1.334729641346224e-44,67533.6673497035
17,0.2602554216304662,7.871563294341583e-52,1.3347293777513332e-44,76243.53845599316
18,0.2602554216304662,1.0299462402306323e-53,-1.334730034578189e-44,85478.31899468081
20,0.2602554216304662,4.443853756389248e-52,-1.3347304431230847e-44,105521.33228726771
21,0.2602554216304662,9.935495058468552e-52,1.3347305437300179e-44,116341.78154429309
23,0.2602554216304662,-3.8321929362344733e-53,1.334730881753624e-44,139552.9777315507
24,0.2602554216304662,2.207004828794471e-52,-1.3347313317212406e-44,151950.69109974566
26,0.2602554216304662,-1.805431901702798e-52,-1.3347316973437843e-44,178336.3735917509
28,0.2602554216304662,-4.812666464791591e-53,-1.3347321984116628e-44,206821.74879424786
30,0.2602554216304662,-4.2521607645519685e-52,-1.3347325885217058e-44,237427.87011017895
32,0.2602554216304662,-2.2890156571327116e-52,-1.3347329826819593e-44,270134.5089438269
34,0.2602554216304662,-5.181505245431971e-52,-1.3347333933526763e-44,304961.02347453387
37,0.2602554216304662,5.691224997450441e-52,1.3347339047328108e-44,361151.30605975754
40,0.2602554216304662,-2.468353374865783e-52,-1.3347347152778947e-44,422085.13552721054
42,0.2602554216304662,-6.705529673810846e-53,-1.3347350947955563e-44,465352.3078703388
46,0.2602554216304662,9.271676798148297e-53,-1.3347359978335314e-44,558210.4346173507
49,0.2602554216304662,1.532644281542434e-51,1.3347361340724284e-44,633395.7186185403
52,0.2602554216304662,8.3521070825072625e-53,-1.3347372459299326e-44,713323.7486337612
56,0.2602554216304662,-6.738701631939835e-53,-1.3347380890071011e-44,827286.6403812895
60,0.2602554216304662,-2.9525044334205246e-52,-1.334738920222295e-44,949691.2070506241
65,0.2602554216304662,6.79537442167198e-52,1.334739875074744e-44,1114571.3324676782
69,0.2602554216304662,1.1526422695632942e-51,1.3347406031910908e-44,1255969.3279171137
74,0.2602554216304662,4.1021596775010657e-53,-1.334741882951365e-44,1444583.8459696644
80,0.2602554216304662,-2.589909481846097e-52,-1.3347431340210334e-44,1688339.1838081726
86,0.2602554216304662,4.927367417545734e-52,-1.334744322714736e-44,1951083.3103663544
92,0.2602554216304662,-5.595501844091354e-52,-1.3347455461508134e-44,2232827.8811402936
98,0.2602554216304662,-8.856348120292362e-53,-1.334746799707716e-44,2533557.9162695026
105,0.2602554216304662,4.290438908752383e-52,1.3347477408377973e-44,2908425.2038972485
113,0.2602554216304662,6.725174723295061e-52,1.3347495395446186e-44,3368495.7309708633
121,0.2602554216304662,5.263924841372278e-52,1.334751176226861e-44,3862332.9130804297
130,0.2602554216304662,-1.1302629976152532e-53,-1.3347533402496167e-44,4458258.215679172
