time_points,initial_state,qfi_values,m_0_values,m_1_values,N,h,J,tau
1,PHYS,0.001401765197144087,0.455680917705954,0.00016308427188415007,40,0.4,1.0,1.0
2,PHYS,0.004175634713855345,0.4556809177059396,0.00016308427188568841,40,0.4,1.0,1.0
3,PHYS,0.009889983897005423,0.4556809177059292,0.00016308427188893582,40,0.4,1.0,1.0
4,PHYS,0.018936573903035204,0.45568091770591207,0.00016308427188899133,40,0.4,1.0,1.0
5,PHYS,0.026603939901133525,0.45568091770590236,0.00016308427189416877,40,0.4,1.0,1.0
6,PHYS,0.030033681081121352,0.45568091770588354,0.0001630842718920467,40,0.4,1.0,1.0
7,PHYS,0.03143151154744204,0.45568091770587243,0.00016308427189243925,40,0.4,1.0,1.0
8,PHYS,0.031542335559908034,0.4556809177058563,0.00016308427189506424,40,0.4,1.0,1.0
9,PHYS,0.02944292923615309,0.4556809177058446,0.00016308427189737075,40,0.4,1.0,1.0
10,PHYS,0.02685198344737869,0.45568091770582786,0.000163084271898533,40,0.4,1.0,1.0
11,PHYS,0.02599261867654657,0.45568091770581454,0.00016308427189918508,40,0.4,1.0,1.0
12,PHYS,0.0270602292180199,0.45568091770580016,0.00016308427190131898,40,0.4,1.0,1.0
13,PHYS,0.02849379862233784,0.4556809177057877,0.00016308427190288855,40,0.4,1.0,1.0
14,PHYS,0.029938203971997653,0.4556809177057718,0.00016308427190474817,40,0.4,1.0,1.0
15,PHYS,0.031138836916398335,0.45568091770575964,0.00016308427190482312,40,0.4,1.0,1.0
16,PHYS,0.031288378307147584,0.4556809177057438,0.0001630842719074127,40,0.4,1.0,1.0
17,PHYS,0.030926993170999728,0.45568091770573105,0.00016308427190930475,40,0.4,1.0,1.0
18,PHYS,0.03058934786679901,0.4556809177057162,0.0001630842719108721,40,0.4,1.0,1.0
19,PHYS,0.030220652701300598,0.45568091770570407,0.00016308427191243647,40,0.4,1.0,1.0
20,PHYS,0.02954907865229802,0.4556809177056878,0.0001630842719138187,40,0.4,1.0,1.0
